"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","tblTrainPlanData","NoOfRoutePoint"
"dbo","tblTrainPlanData","RoutePointGUIDs"
"dbo","tblTrainPlanDetailData","TrainPlanDetailsGUID"
"dbo","tblTrainPlanDetailData","MessageType"
"dbo","tblTrainPlanDetailData","TrainDetailAction"
"dbo","tblTrainPlanDetailData","RoutePointGUIDs"
"dbo","tblTrainPlanDetailsActive","TrainPlanDetailsGUID"
"dbo","tblTrainPlanDetailsActive","MessageType"
"dbo","tblTrainPlanDetailsActive","TrainDetailAction"
"dbo","tblTrainPlanDetailsActive","RoutePointGUIDs"
"dbo","tblTrainPlanDetailsInActive","TrainPlanDetailsGUID"
"dbo","tblTrainPlanDetailsInActive","MessageType"
"dbo","tblTrainPlanDetailsInActive","TrainDetailAction"
"dbo","tblTrainPlanDetailsInActive","RoutePointGUIDs"
"dbo","tblTrainPlanInActive","TrainPlanGUID"
"dbo","tblTrainPlanInActive","MessageType"
"dbo","tblTrainPlanInActive","UsrDefTrainName"
"dbo","tblTrainPlanInActive","FrgnTrainName"
"dbo","tblTrainPlanInActive","TrainType"
"dbo","tblTrainPlanInActive","TrainKind"
"dbo","tblTrainPlanInActive","TrainNotes"
"dbo","tblTrainPlanInActive","MinRoutePoint"
"dbo","tblTrainPlanInActive","MaxRoutePoint"
"dbo","tblTrainPlanInActive","NoOfRoutePoint"
"dbo","tblTrainPlanInActive","RoutePointGUIDs"
"dbo","tblTrainPlanLocomotivesData","StartRouteSeqNo"
"dbo","tblTrainPlanLocomotivesData","EndRouteSeqNo"
"dbo","tblTrainPlanScheduleInActive","TrainSymbol"
"dbo","tblTrainPlanScheduleInActive","StationArrivalTrackName"
"dbo","tblTrainPlanScheduleInActive","StationDepartureTrackName"
"dbo","tblTrainPlanScheduleInActive","StationArrivalTrackUID"
"dbo","tblTrainPlanScheduleInActive","StationDepartureTrackUID"
"dbo","tblTrainPlanScheduleInActive","TrainGUID"
"dbo","tblTrainPlanScheduleInActive","TrackEnterDark"
"dbo","tblTrainPlanScheduleInActive","TrackDarkShelf"
"dbo","tblTrainRoutePointConsistActive","TrainConsistsKey"
"dbo","tblTrainRoutePointConsistActive","KeyTrain"
"dbo","tblTrainRoutePointConsistActive","TrainConsistNumber"
"dbo","tblTrainRoutePointConsistInActive","TrainConsistsKey"
"dbo","tblTrainRoutePointConsistInActive","KeyTrain"
"dbo","tblTrainRoutePointConsistInActive","TrainConsistNumber"
"dbo","tblTrainRoutePointCrewActive","TrainCrewID"
"dbo","tblTrainRoutePointCrewInActive","TrainCrewID"
"dbo","tblTrainRoutePointEventsActive","TrainPlanEventID"
"dbo","tblTrainRoutePointEventsActive","OptTrainEventID"
"dbo","tblTrainRoutePointEventsActive","TrainEventCode"
"dbo","tblTrainRoutePointEventsActive","TrainEventTime"
"dbo","tblTrainRoutePointEventsActive","TrainEventStatus"
"dbo","tblTrainRoutePointEventsActive","TrainCertaintyCode"
"dbo","tblTrainRoutePointEventsInActive","TrainPlanEventID"
"dbo","tblTrainRoutePointEventsInActive","OptTrainEventID"
"dbo","tblTrainRoutePointEventsInActive","TrainEventCode"
"dbo","tblTrainRoutePointEventsInActive","TrainEventTime"
"dbo","tblTrainRoutePointEventsInActive","TrainEventStatus"
"dbo","tblTrainRoutePointEventsInActive","TrainCertaintyCode"
"dbo","tblTrainRoutePointLocomotiveActive","StartRouteSeqNo"
"dbo","tblTrainRoutePointLocomotiveActive","EndRouteSeqNo"
"dbo","tblTrainRoutePointLocomotiveInActive","StartRouteSeqNo"
